"","log2FoldChange","padj","Factor"
"ko:K00024",-0.891278412108012,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00031",-0.669816718972428,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00128",-0.229961113562168,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00134",1.51809675548145,0.703410703562284,"Menthol_Menthol_vs_Control"
"ko:K00140",0.149666526112863,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00207",0.340360986955009,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00235",-0.147417831136905,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00249",0.252342503273523,0.95081848699343,"Menthol_Menthol_vs_Control"
"ko:K00262",0.049876133117821,0.976689137269708,"Menthol_Menthol_vs_Control"
"ko:K00331",0.730409335027616,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00333",-0.908307208451011,0.483790277431978,"Menthol_Menthol_vs_Control"
"ko:K00338",0.449522921092397,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00357",0.503371324447831,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00411",0.102057511884013,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00413",0.579419059620403,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00456",-0.581152534411174,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00469",0.158281082969272,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00500",0.185847066312321,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00522",-0.737212932008402,0.351459649948917,"Menthol_Menthol_vs_Control"
"ko:K00544",-0.840294347709147,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00616",-1.58815473962635,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00643",0.288739967835963,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00799",-0.730186672511637,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00814",-0.358222215965432,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00819",0.714403643102879,0.252959114103012,"Menthol_Menthol_vs_Control"
"ko:K00856",-0.142976199263752,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00933",-0.105079678461722,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00939",-0.229713862516768,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K00940",0.114231889725488,0.948774040140884,"Menthol_Menthol_vs_Control"
"ko:K00967",0.349124993067197,0.483790277431978,"Menthol_Menthol_vs_Control"
"ko:K01070",-1.36141534090132,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K01206",0.0062993194882982,0.998808309634153,"Menthol_Menthol_vs_Control"
"ko:K01251",1.29767384636364,0.14717528243193,"Menthol_Menthol_vs_Control"
"ko:K01363",0.268672797897344,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K01365",-0.0452384450986311,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K01379",0.265708674785961,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K01551",-0.0228704435293041,0.998808309634153,"Menthol_Menthol_vs_Control"
"ko:K01596",0.760577848922354,0.0956064146818089,"Menthol_Menthol_vs_Control"
"ko:K01623",-1.03627571225183,0.187000383292308,"Menthol_Menthol_vs_Control"
"ko:K01681",-0.212014586328413,0.944804636513613,"Menthol_Menthol_vs_Control"
"ko:K01689",0.845797969269377,0.331354795494155,"Menthol_Menthol_vs_Control"
"ko:K01697",0.191424094230954,0.948774040140884,"Menthol_Menthol_vs_Control"
"ko:K01758",0.0867109344503313,0.968185033470146,"Menthol_Menthol_vs_Control"
